Population,Continent,Status,Mated,Duration
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,1,20
IT,EU,T2,1,22
IT,EU,T2,1,20
IT,EU,T2,1,15
IT,EU,T2,1,21
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,1,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T3,1,17
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,1,25
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,1,23
IT,EU,T3,1,21
IT,EU,T3,1,34
IT,EU,T3,1,22
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,1,20
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,1,26
IT,EU,T3,1,22
IT,EU,T3,1,20
IT,EU,T3,1,22
IT,EU,T3,1,15
IT,EU,T3,1,20
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,1,29
IT,EU,T3,0,NA
IT,EU,T3,1,28
IT,EU,T3,1,30
IT,EU,T3,1,24
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,0,NA
IT,EU,T3,1,19
IT,EU,T3,1,23
IT,EU,T3,1,21
